(1 | Single | RMI) Sobald ein entferntes Objekt (remote object) exportiert wurde, kann es in der RMI Registry gefunden werden.;Wahr.;Falsch.;;;;-1;;Hallo, ich bin ein Feedbacktext!
(2 | Single | RMI) Java RMI Kommunikation ist verschlüsselt (encrypted).;Wahr.;Falsch.;;;;2;;
(3 | Single | TCP) Der 3-Wege-Handschlag (three way handshake) wird verwendet, um eine TCP Verbindung zu errichten.;Wahr.;Falsch.;;;;-1;;
(4 | Single | RMI) Ein Stub in RMI ist eine Komponente zuständig für:;Serverseitige Kommunikation.;Clientseitige Kommunikation.;;;;-1;;
(5 | Single | Encryption) RSA ist ein Beispiel für ein symmetrisches Verschlüsselungsprotokoll (symmetric encryption protocol).;Wahr.;Falsch.;;;;-1;;
(6 | Single | Concurrency) Wenn eine synchronisierte Methode in Java aufgerufen wird, wird eine Sperre hervorgerufen auf:;Das Object (this).;Die Methode.;Die Klasse.;Die Variablen, welche in der Methode verwendet werden.;;-1;;
(7 | Multi | TCP) Welche Form eines Service wird von TCP bereitgestellt? Wählen Sie alle zutreffenden Antworten aus.;Zuverlässig (reliable);Unzuverlässig (unreliable);Verbindungsorientiert (connection-oriented);Verbindungslos (connection-less);;-1;;
(8 | Single | Concurrency) Wenn auf einer Methode mit der Signatur (im Bild) von zwei Threads mit derselben Objekt-Instanz zugegriffen wird, kann nur jeweils einer der Threads ausgeführt werden.;Wahr.;Falsch.;;;;-1;8.jpg;geändert bzw. umformuliert
(9 | Single | RMI) In RMI muss man für Bootstrapping Absichten, mit der RMI Registry folgendes registrieren:;Alle entfernten Objekte (remote objects);Zumindest ein entferntes Objekt (remote object);;;;-1;;
(10 | Multi | Concurrency) Was sind valide Methoden, um einen threadsicheren 'for-each' Schleifendurchlauf über eine 'List myList1' durchzuführen?;Das Erzeugen eines threadsicheren Wrappers mit 'Collections.synchronizedList(myList1)'.;Synchronisation ist nicht nötig. Ein Durchlauf ist nur eine Serie von Lesezugriffen. ;Das Erzeugen eines synchronisierten Blockes, welcher 'myList1' als Sperrobjekt (lock-object) verwendet.;;;-1;;Hinweis: Betrachten Sie den Fall, dass ein zweiter Thread versucht ein Item zu 'myList1' hinzuzufügen, während die Schleife noch aktiv ist.
