(1) Welche Modellierungen sind korrekt für den angegebenen Sachverhalt? [Jede Person hat einen Namen (NAME), ein Geburtsdatum (GEBDAT), sowie eine e-mail Adresse (EMAIL), wobei es keine zwei Personen mit demselben Namen gibt, welche am selben Tag geboren wurden.];(1. ) Die erste Modellierung.;(2. ) Die zweite Modellierung.;(3. ) Die dritte Modellierung.;(4. ) Die vierte Modellierung.;Keine der genannten Antworten.;4;mod1.png;
(2) Welche Modellierungen sind korrekt für den angegebenen Sachverhalt? [Zu jedem Vorsatz wird das Jahr (JAHR), eine kurze Bezeichnung (SLOGAN), sowie eine ID (ID) gespeichert, wobei sowohl der Slogan als auch die ID eindeutig für jeden Vorsatz sind.];(1. ) Die erste Modellierung.;(2. ) Die zweite Modellierung.;(3. ) Die dritte Modellierung.;(4. ) Die vierte Modellierung.;Keine der genannten Antworten.;24;mod2.png;
(3) Welche Modellierungen sind korrekt für den angegebenen Sachverhalt? [Jede Person kann bei maximal einem Vorsatz von maximal einer weiteren Person unterstützt werden, wobei eine Person beliebig viele andere Personen unterstützen darf. Dabei muss klar erkennbar sein, welche Person die unterstützende, und welche die unterstützte ist.];(1. ) Die erste Modellierung.;(2. ) Die zweite Modellierung.;(3. ) Die dritte Modellierung.;(4. ) Die vierte Modellierung.;Keine der genannten Antworten.;1;mod3.png;
(4) Welche Modellierungen sind korrekt für den angegebenen Sachverhalt? [Jeder Vorsatz enthält mindestens ein Ziel. Für jedes in einem Vorsatz enthaltene Ziel wird eine Priorität (PRIORITAET) vermerkt, wobei ein Ziel in mehreren Vorsätzen vorkommen kann.];(1. ) Die erste Modellierung.;(2. ) Die zweite Modellierung.;(3. ) Die dritte Modellierung.;(4. ) Die vierte Modellierung.;Keine der genannten Antworten.;3;mod4.png;
(5) Welche Modellierungen sind korrekt für den angegebenen Sachverhalt? [Ein Ziel hat einen Namen (NAME) und ein Level (LEVEL), die zusammen eindeutig sind. Immer, wenn ein aktives Ziel erreicht wird, wird ein Datum (DATUM) und ein Kommentar (KOMMENTAR) gespeichert. Dasselbe aktive Ziel kann am selben Datum maximal einmal erreicht werden. Nicht jedes Ziel muss aktiv sein.];(1. ) Die erste Modellierung.;(2. ) Die zweite Modellierung.;(3. ) Die dritte Modellierung.;(4. ) Die vierte Modellierung.;Keine der genannten Antworten.;2;mod5.png;
(6) Welche Aussagen sind korrekt für das EER Diagramm im Bild?;Ein U wird mittels u1 und u2 eindeutig beschrieben.;Ein F kann ohne U nicht existieren.;Ein F ist in der h Beziehung genau einem U zugeordnet.;Für jedes B muss b1 eindeutig sein.;Keine der genannten Antworten.;5;eer.png;
(7) Welche Aussagen sind korrekt für das EER Diagramm im Bild?;Ein U kann ohne F nicht existieren.;Ein U ist in der h Beziehung genau einem F zugeordnet.;Für jedes U müssen genau ein I und ein F an der j Beziehung teilnehmen.;Ein F wird über i2 eindeutig beschrieben.;Keine der genannten Antworten.;123;eer.png;
(8) Welche Aussagen sind korrekt für das EER Diagramm im Bild?;Für jedes B kann es keine zwei gleichen b2 Werte geben.;Jedes B kann eine n Beziehung mit bis zu zwei U eingehen.;Ein F wird über i1 und i2 zusammen eindeutig beschrieben.;Für jedes F müssen genau ein I und ein U an der j Beziehung teilnehmen.;Keine der genannten Antworten.;3;eer.png;
(9) Welche Aussagen sind korrekt für das EER Diagramm im Bild?;Jedes I muss mindestens eine g Beziehung mit einem B eingehen.;Jedes I kann maximal zwei g Beziehungen mit einem B eingehen.;Jedes I muss an mindestens einer j Beziehung teilnehmen.;Jedes I hat ein f1 und ein f2.;Keine der genannten Antworten.;2;eer.png;
(10) Welche Übersetzungen sind korrekt für I im Bild? Keine Nullwerte erlaubt.;(1. ) Die erste Übersetzung. [i1 unterstrichen, i2 unterstrichen, i3];(2. ) Die zweite Übersetzung. [i1 unterstrichen, i2 unterstrichen, i3, B.b1, B.b2];(3. ) Die dritte Übersetzung. [i1 unterstrichen, i2 unterstrichen, i3, B.b1 unterstrichen, B.b2 unterstrichen, B.b3];(4. ) Die vierte Übersetzung. [i1 unterstrichen, i2 unterstrichen, i3, B.b1, B.b2, U.u1, U.u2];Keine der genannten Antworten.;1;eer1.png;
