Von welchen Grammatiken kann jede kontextsensitive Sprache erzeugt werden?;Von einer regulaeren Grammatik.;Von einer kontextfreien Grammatik.;Von einer monotonen Grammatik.;Von einer kontextsensitiven Grammatik.;Keine der genannten Antworten.;34;
Von welchen Grammatiken kann jede regulaere Sprache erzeugt werden?;Von einer kontextfreien Grammatik.;Von einer monotonen Grammatik.;Von einer kontextsensitiven Grammatik.;Von einer unbeschraenkten Grammatik.;Keine der genannten Antworten.;1234;
Von welchen Grammatiken kann jede kontextfreie Sprache erzeugt werden?;Von einer regulaeren Grammatik.;Von einer kontextfreien Grammatik.;Von einer monotonen Grammatik.;Von einer unbeschraenkten Grammatik.;Keine der genannten Antworten.;234;
Von welchen Grammatiken kann jede rekursiv aufzaehlbare Sprache erzeugt werden?;Von einer regulaeren Grammatik.;Von einer kontextfreien Grammatik.;Von einer kontextsensitiven Grammatik.;Von einer unbeschraenkten Grammatik.;Keine der genannten Antworten.;4;
Betrachte die Definition in Bild 1. In welchen Grammatiken ist die Produktion S-> Saa erlaubt (S Element von N, a Element von T)?;In einer regulaeren Grammatik.;In einer kontextfreien Grammatik.;In einer monotonen Grammatik.;In einer kontextsensitiven Grammatik.;Keine der genannten Antworten.;234;01_til.png
Betrachte die Definition in Bild 1. In welchen Grammatiken ist die Produktion aA -> aAb erlaubt (A Element von N, a und b Element von T)?;In einer regulaeren Grammatik.;In einer kontextfreien Grammatik.;In einer kontextsensitiven Grammatik.;In einer unbeschraenkten Grammatik.;Keine der genannten Antworten.;34;01_til.png
Betrachte die Definition in Bild 1. In welchen Grammatiken ist die Produktion bA -> Ab erlaubt (A Element von N, b Element von T)?;In einer regulaeren Grammatik.;In einer kontextfreien Grammatik.;In einer monotonen Grammatik.;In einer kontextsensitiven Grammatik.;Keine der genannten Antworten.;3;01_til.png
Betrachte die Definition in Bild 1. In welchen Grammatiken ist die Produktion B -> BSS erlaubt (B und S Element von N)?;In einer kontextfreien Grammatik.;In einer monotonen Grammatik.;In einer kontextsensitiven Grammatik.;In einer unbeschraenkten Grammatik.;Keine der genannten Antworten.;1234;01_til.png
Betrachte Bild 2. Was gilt fuer die Grammatik G?;G ist regulaer.;G ist kontextfrei.;G ist monoton.;G ist kontextsensitiv.;Keine der genannten Antworten.;3;02_til.png
Betrachte Bild 3. Was gilt fuer die Grammatik G?;G ist regulaer.;G ist kontextfrei.;G ist monoton.;G ist kontextsensitiv.;Keine der genannten Antworten.;34;03_til.png
Betrachte Bild 4. Was gilt fuer die Grammatik G?;G ist regulaer.;G ist kontextfrei.;G ist monoton.;G ist kontextsensitiv.;Keine der genannten Antworten.;234;04_til.png
Betrachte Bild 5. Was gilt fuer die Grammatik G?;G ist regulaer.;G ist kontextfrei.;G ist monoton.;G ist kontextsensitiv.;Keine der genannten Antworten.;2;05_til.png
Betrachte Bild 6. Welche Sprache L(G) wird von G erzeugt?;a);b);c);d);Keine der genannten Antworten.;3;06_til.png
Betrachte Bild 7. Welche Sprache L(G) wird von G erzeugt?;a);b);c);d);Keine der genannten Antworten.;2;07_til.png
Betrachte Bild 8. Welche Sprache L(G) wird von G erzeugt?;a);b);c);d);Keine der genannten Antworten.;1;08_til.png
Betrachte Bild 9. Welche Sprache L(G) wird von G erzeugt?;a);b);c);d);Keine der genannten Antworten.;4;09_til.png
Betrachte Bild 10. Was gilt fuer die angegebene Sprache L?;L ist regulaer.;L ist kontextfrei.;L ist kontextsensitiv.;L ist entscheidbar.;Keine der genannten Antworten.;34;10_til.png
Betrachte Bild 11. Was gilt fuer die angegebene Sprache L?;L ist regulaer.;L ist kontextfrei.;L ist kontextsensitiv.;L ist entscheidbar.;Keine der genannten Antworten.;1234;11_til.png
Betrachte Bild 12. Was gilt fuer die angegebene Sprache L?;L ist regulaer.;L ist kontextfrei.;L ist entscheidbar.;L ist rekursiv aufzaehlbar.;Keine der genannten Antworten.;1234;12_til.png
Betrachte Bild 13. Was gilt fuer die angegebene Sprache L?;L ist regulaer.;L ist kontextfrei.;L ist entscheidbar.;L ist rekursiv aufzaehlbar.;Keine der genannten Antworten.;234;13_til.png
Betrachte Bild 14. Ist der angegebene Beweis korrekt?;Ja!;Nein, die Wahl von w ist nicht korrekt.;Nein, die Wahl von i ist nicht zielfuehrend.;Nein, die Sprache ist regulaer.;Keine der genannten Antworten.;4;14_til.png
Betrachte Bild 15. Ist der angegebene Beweis korrekt?;Ja!;Nein, die Wahl von w ist nicht korrekt.;Nein, die Wahl von i ist nicht zielfuehrend.;Nein, die Sprache ist regulaer.;Keine der genannten Antworten.;2;15_til.png
Betrachte Bild 16. Ist der angegebene Beweis korrekt?;Ja!;Nein, die Wahl von w ist nicht korrekt.;Nein, die Wahl von i ist nicht zielfuehrend.;Nein, die Sprache ist regulaer.;Keine der genannten Antworten.;1;16_til.png
Betrachte Bild 17. Ist der angegebene Beweis korrekt?;Ja!;Nein, die Wahl von w ist nicht korrekt.;Nein, die Wahl von i ist nicht zielfuehrend.;Nein, die Sprache ist regulaer.;Keine der genannten Antworten.;3;17_til.png
Welche der nachfolgenden Aussagen sind korrekt?;Ist L regulaer, so ist jede Teilmenge von L regulaer.;Ist L endlich, so ist jede Teilmenge von L regulaer.;Ist L die leere Menge, so ist L kontextsensitiv.;Ist L kontextfrei und endlich, so ist L auch regulaer.;Keine der genannten Antworten.;234;
Welche der nachfolgenden Aussagen sind korrekt?;Ist L nicht regulaer, so kann das Komplement von L regulaer sein.;Es gibt keine unbeschraenkte Grammatik, welche L = {} erzeugt.;Kontextfreie Sprachen sind unter Komplement abgeschlossen.;Das Komplement einer kontextfreien Sprache ist nicht rekursiv aufzaehlbar.;Keine der genannten Antworten.;5;
Welche der nachfolgenden Aussagen sind korrekt?;Jede unentscheidbare Sprache enthaelt eine entscheidbare Teilmenge.;Sei L eine Sprache ueber Sigma. Ist Sigma* - L regulaer, dann ist auch L regulaer.;Sind L1 und L2 kontextfrei, so ist auch L1 - L2 kontextfrei.;Ist die Sprache L1L2 regulaer, dann sind sowohl L1 als auch L2 regulaer.;Keine der genannten Antworten.;12;
Welche der nachfolgenden Aussagen sind korrekt?;Ist L regulaer, so ist auch {ww|w Element von L} regulaer.;Ist L eine endliche Sprache, so gibt es eine monotone Grammatik, die L erzeugt.;Ist L eine formale Sprache, so gibt es eine unbeschraenkte Grammatik, die L erzeugt.;Sind L1 und L2 kontextfrei, so kann deren Schnittmenge nie kontextfrei sein.;Keine der genannten Antworten.;2;
Welche der nachfolgenden Aussagen sind korrekt?;Jede regulaere Sprache kann von einer kontextfreien, nicht regulaeren Grammatik erzeugt werden.;Jede monotone Sprache, die von einer regulaeren Grammatik erzeugt werden kann, ist auch kontextfrei.;Zu einer kontextfreien Sprache gibt es immer eine monotone Grammatik, die die Sprache erzeugt.;Zu einer monotonen Sprache gibt es immer eine kontextsensitive Grammatik, die die Sprache erzeugt.;Keine der genannten Antworten.;1234;
Welche der nachfolgenden Aussagen sind korrekt?;Eine regulaere Grammatik ist immer auch kontextfrei und monoton.;Eine regulaere Sprache ist immer auch kontextfrei und monoton.;Es gibt keine kontextfreie, aber nicht regulaere Sprache, die von einer regulaeren Grammatik erzeugt werden kann.;Es gibt keine kontextsensitive Sprache, die von einer regulaeren Grammatik erzeugt werden kann.;Keine der genannten Antworten.;23;
Betrachte Bild 18. Welcher Automat akzeptiert die von G erzeugte Sprache?;A1;A2;A3;A4;Keine der genannten Antworten.;3;18_til.png
Betrachte Bild 19. Welche Sprache L wird vom Automaten akzeptiert?;L = {a, b}*;L = {aa, bb}*;L = {aa, bb, ab, ba}*;L = {};Keine der genannten Antworten.;4;19_til.png
Betrachte Bild 20. Was ergibt die Schnittmenge von X und Y ?;a);b);c);d);Keine der genannten Antworten.;2;20_til.png
Betrachte Bild 21. Was ergibt die Schnittmenge von X und Y ?;a);b);c);d);Keine der genannten Antworten.;3;21_til.png
Betrachte Bild 22. Was ergibt die Schnittmenge von X und Y ?;a);b);c);d);Keine der genannten Antworten.;4;22_til.png
Betrachte Bild 23. Was ergibt die Schnittmenge von X und Y ?;a);b);c);d);Keine der genannten Antworten.;1;23_til.png
Betrachte Bild 24. Welche der Homomorphismen bilden L auf h(L) ab?;a);b);c);d);Keine der genannten Antworten.;12;24_til.png
Betrachte Bild 25. Welche der Homomorphismen bilden L auf h(L) ab?;a);b);c);d);Keine der genannten Antworten.;3;25_til.png
Betrachte Bild 26. Welche der Homomorphismen bilden L auf h(L) ab?;a);b);c);d);Keine der genannten Antworten.;4;26_til.png
